一级功能菜单,二级功能页,功能点,使用场景,使用者,可解决的问题
概览,概览,查看余额不足账户数,每日快速巡检，掌握账户风险状况。,账户运营,账户异常发现不及时，风险响应滞后。
概览,概览,Meta空户率,每日快速巡检，掌握账户风险状况。,账户运营,账户异常发现不及时，风险响应滞后。
概览,概览,近1月封户数,每日快速巡检，掌握账户风险状况。,账户运营,账户异常发现不及时，风险响应滞后。
概览,概览,违规广告数等异常账户概览数据,每日快速巡检，掌握账户风险状况。,账户运营,账户异常发现不及时，风险响应滞后。
概览,概览,查看账户总余额,监控整体资金状况，规划后续充值。,财务人员、账户运营,资金状况不透明，影响广告投放规划。
概览,概览,钱包可用额度,监控整体资金状况，规划后续充值。,财务人员、账户运营,资金状况不透明，影响广告投放规划。
概览,概览,可用授信等广告主概览数据,监控整体资金状况，规划后续充值。,财务人员、账户运营,资金状况不透明，影响广告投放规划。
概览,概览,查看各平台和账户展示量,快速评估各账户广告投放效果。,广告优化师、账户运营,跨平台数据分散，效果评估效率低。
概览,概览,点击量等基础广告数据概览,快速评估各账户广告投放效果。,广告优化师、账户运营,跨平台数据分散，效果评估效率低。
概览,概览,查看开户工单数量概览,了解新户申请数量，评估业务流量。,账户运营,开户申请数不清晰，影响客户预期管理。
概览,概览,查看审核中和被驳回的账户管理工单数量概览,掌握卡审和被驳回的工单分布，及时跟进修改。,账户运营,工单量不明确，导致资源分配不合理。
概览,概览,查看违规广告数量概览与风险等级,快速识别违规风险，优先处理高危项。,账户运营,违规问题处理优先级不明确。
开户管理,开户申请,在线发起Meta,为新客户或新项目申请广告账户。,账户运营,开户流程繁琐，申请周期长。
开户管理,开户申请,TikTok,为新客户或新项目申请广告账户。,账户运营,开户流程繁琐，申请周期长。
开户管理,开户申请,Google,为新客户或新项目申请广告账户。,账户运营,开户流程繁琐，申请周期长。
开户管理,开户申请,Snapchat,为新客户或新项目申请广告账户。,账户运营,开户流程繁琐，申请周期长。
开户管理,开户申请,Kwai,为新客户或新项目申请广告账户。,账户运营,开户流程繁琐，申请周期长。
开户管理,开户申请,Bing,为新客户或新项目申请广告账户。,账户运营,开户流程繁琐，申请周期长。
开户管理,开户申请,X Business,为新客户或新项目申请广告账户。,账户运营,开户流程繁琐，申请周期长。
开户管理,开户申请,Bigo,为新客户或新项目申请广告账户。,账户运营,开户流程繁琐，申请周期长。
开户管理,开户申请,Taboola等媒体开户申请，填写开户信息，生成开户记录,为新客户或新项目申请广告账户。,账户运营,开户流程繁琐，申请周期长。
开户管理,开户申请,查看Meta,学习并规范填写开户所需资料。,账户运营,不熟悉开户要求，导致申请被拒。
开户管理,开户申请,TikTok,学习并规范填写开户所需资料。,账户运营,不熟悉开户要求，导致申请被拒。
开户管理,开户申请,Google开户申请操作说明,学习并规范填写开户所需资料。,账户运营,不熟悉开户要求，导致申请被拒。
开户管理,开户记录,筛选、查询开户记录,快速定位特定条件的开户申请。,账户运营,开户记录多，查找特定记录困难。
开户管理,开户记录,查看开户记录明细,核对开户资料，追踪申请状态。,账户运营,无法追溯开户详情，问题排查难。
开户管理,开户记录,查看开户记录已下户的账户名称和id,获取成功开通的账户信息，用于投放。,广告优化师、账户运营,下户信息同步不及时，影响投放启动。
开户管理,开户记录,复制开户记录内容生成新的开户申请草稿,快速创建和已有申请相似的新开户申请。,账户运营,重复填写相似信息，效率低下。
开户管理,开户记录,导出开户记录,批量整理开户数据，用于内部汇报或归档。,财务人员、账户运营,数据整理工作量大，易出错。
广告账户,账户管理,筛选、查询广告账户,从海量账户中快速定位目标账户。,账户运营、广告优化师,账户数量庞大，查找和管理不便。
广告账户,账户管理,查看账户基础信息,了解账户状态、余额、绑定关系等。,账户运营、广告优化师,账户信息分散，查看需多平台切换。
广告账户,账户管理,选中并单个/批量刷新账户基础信息,更新账户状态，确保数据为最新。,账户运营,系统数据滞后，影响决策准确性。
广告账户,账户管理,单个账户绑定/解绑一个特定BC/BM/MCC，生成单个绑定/解绑工单,调整单个账户的资产归属或管理权限。,账户运营,资产归属调整流程不标准，操作有风险。
广告账户,账户管理,选中多个账户批量绑定/解绑一个特定BC/BM/MCC，生成多个绑定/解绑工单,批量迁移账户，统一资产管理。,账户运营,逐个操作效率低，耗时耗力。
广告账户,账户管理,单个账户发起账户间转账，生成单个转账工单，从单个账户转出特定金额到另一个账户,将余额从A账户调至B账户，灵活使用资金。,财务人员、账户运营,跨账户资金调配不便，流程繁琐。
广告账户,账户管理,单个账户发起清零，生成单个清零工单，从单个账户中清出所有余额,回收不常用或废弃账户的剩余资金。,财务人员、账户运营,废弃账户余额沉睡，造成资金浪费。
广告账户,账户管理,选中多个账户批量发起清零，生成多个清零工单，从多个账户中清出所有余额,批量回收不常用或废弃账户的剩余资金。,财务人员、账户运营,逐个清零效率低，资金回收慢。
广告账户,账户管理,单个账户发起充值，生成单个充值工单，向单个账户充值特定金额,为账户补充预算，保障投放。,账户运营、广告优化师,充值流程不统一，操作记录缺失。
广告账户,账户管理,选中多个账户批量发起充值，生成多个充值工单，向多个账户充值特定金额,为多个账户同时充值，高效管理资金。,财务人员、账户运营,批量充值操作繁琐，易出错。
